Original Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Original Global_Sales,Reason For Removal
7298,Summer Athletics: The Ultimate Challenge (Others sales),Wii,2008,Sports,DTP Entertainment,0,0.2,0,0.01,0.22,"Duplicate/Alternate - Same Platform, Year, Genre, and Publisher as another record. This record  appears to be a secondary/partial sales record.This secondary record was excluded to avoid potential double-counting, and the original record was altered to remove ""US sales"" from the title and marked as a Original Data - Standardized Title on the Cleaned_vgsales_V2 sheet"
1754,Yu-Gi-Oh! The Sacred Cards (American and Others sales),GBA,2002,Role-Playing,Konami Digital Entertainment,0.84,0.27,0,0.05,1.16,"Duplicate/Alternate - Same Platform, Year, Genre, and Publisher as another record. This record has conflicting information and appears to be a secondary/partial sales record.This secondary record was excluded to avoid potential double-counting."
6332,Yu-Gi-Oh! The Sacred Cards (JP weekly sales),GBA,2002,Role-Playing,Konami Digital Entertainment,0,0,0.26,0.01,0.27,"Duplicate/Alternate - Same Platform, Year, Genre, and Publisher as another record. This record has conflicting information and appears to be a secondary/partial sales record.This secondary record was excluded to avoid potential double-counting."
10419,Winning Eleven: Pro Evolution Soccer 2007,X360,2006,Sports,Konami Digital Entertainment,0.09,0,0,0.01,0.1,"Duplicate/Alternate - Same Platform, Year, Genre, and Publisher as another record. This record has conflicting information and appears to be a secondary/partial sales record.This secondary record was excluded to avoid potential double-counting, and the original record was altered to remove ""all region sales"" from the title and marked as a Original Data - Standardized Title on the Cleaned_vgsales_V2 sheet"
7109,.hack//G.U. Vol.2//Reminisce,PS2,2006,Role-Playing,Namco Bandai Games,0.11,0.09,0,0.03,0.23,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
8604,.hack//G.U. Vol.2//Reminisce (jp sales),PS2,2006,Role-Playing,Namco Bandai Games,0,0,0.16,0,0.16,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
5463,Ape Escape Academy,PSP,2004,Misc,Sony Computer Entertainment,0.13,0.15,0,0.05,0.33,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
9234,Ape Escape Academy (jp sales),PSP,2004,Misc,Sony Computer Entertainment,0,0,0.13,0,0.14,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
13771,Atelier Iris 3: Grand Phantasm (JP Sales),PS2,2006,Role-Playing,Tecmo Koei,0,0,0.04,0,0.04,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
6003,Atelier Iris 3: Grand Phantasm (US Sales),PS2,2006,Role-Playing,Tecmo Koei,0.14,0.11,0,0.04,0.29,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
4435,Battlefield 2: Modern Combat,PS2,2005,Shooter,Electronic Arts,0.37,0.01,0,0.06,0.44,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
14939,Battlefield 2: Modern Combat(JP sales),PS2,2005,Shooter,Electronic Arts,0,0,0.02,0,0.02,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
8721,Bleach: Dark Souls,DS,2007,Fighting,Sega,0.12,0.02,0,0.01,0.15,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
10667,Bleach: Dark Souls (JP sales),DS,2007,Fighting,Sega,0,0,0.1,0,0.1,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
8733,Bomberman,PSP,2006,Puzzle,Konami Digital Entertainment,0.14,0,0,0.01,0.15,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
15995,Bomberman (jp sales),PSP,2006,Puzzle,Konami Digital Entertainment,0,0,0.01,0,0.01,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
10190,Brave Story: New Traveler (US sales),PSP,2006,Role-Playing,Sony Computer Entertainment,0.11,0,0,0,0.11,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. "
13411,Brave Story: New Traveller (jp sales),PSP,2006,Role-Playing,Sony Computer Entertainment,0,0,0.05,0,0.05,"Regional Alternate - Merged with above corresponding record to avoid double-counting, determined that they represent the same release. "
4223,Dance Dance Revolution: Mario Mix,GC,2005,Misc,Nintendo,0.36,0.09,0,0.01,0.47,"Regional Alternate - Merged with below corresponding record to avoid double-counting, determined that they represent the same release. Genre verified as Misc."
